"timestamp","azimuth","elevation","timestamp_float"
"2024-03-26T01:59:45.000000+00:00","140.008","90.031","1711418385.0"
"2024-03-26T01:59:46.000000+00:00","140.008","90.031","1711418386.0"
"2024-03-26T01:59:47.000000+00:00","140.008","90.031","1711418387.0"
"2024-03-26T01:59:48.000000+00:00","140.008","90.031","1711418388.0"
"2024-03-26T01:59:49.000000+00:00","140.008","89.948","1711418389.0"
"2024-03-26T01:59:50.000000+00:00","140.008","89.793","1711418390.0"
"2024-03-26T01:59:51.000000+00:00","140.008","89.639","1711418391.0"
"2024-03-26T01:59:52.000000+00:00","140.008","89.476","1711418392.0"
"2024-03-26T01:59:54.000000+00:00","140.008","89.332","1711418394.0"
"2024-03-26T01:59:55.000000+00:00","140.004","89.188","1711418395.0"
"2024-03-26T01:59:56.000000+00:00","140.003","89.034","1711418396.0"
"2024-03-26T01:59:57.000000+00:00","140.003","88.88","1711418397.0"
"2024-03-26T01:59:58.000000+00:00","140.003","88.727","1711418398.0"
"2024-03-26T01:59:59.000000+00:00","140.003","88.571","1711418399.0"
"2024-03-26T02:00:00.000000+00:00","140.004","88.425","1711418400.0"
"2024-03-26T02:00:01.000000+00:00","140.015","88.272","1711418401.0"
"2024-03-26T02:00:02.000000+00:00","140.015","88.118","1711418402.0"
"2024-03-26T02:00:03.000000+00:00","140.015","87.963","1711418403.0"
"2024-03-26T02:00:04.000000+00:00","140.015","87.809","1711418404.0"
"2024-03-26T02:00:05.000000+00:00","140.0","87.663","1711418405.0"
"2024-03-26T02:00:06.000000+00:00","140.0","87.511","1711418406.0"
"2024-03-26T02:00:07.000000+00:00","140.0","87.357","1711418407.0"
"2024-03-26T02:00:08.000000+00:00","140.0","87.204","1711418408.0"
"2024-03-26T02:00:09.000000+00:00","140.016","87.049","1711418409.0"
"2024-03-26T02:00:10.000000+00:00","140.016","86.896","1711418410.0"
"2024-03-26T02:00:11.000000+00:00","140.016","86.896","1711418411.0"
"2024-03-26T02:00:12.000000+00:00","140.016","86.742","1711418412.0"
"2024-03-26T02:00:13.000000+00:00","140.001","86.587","1711418413.0"
"2024-03-26T02:00:14.000000+00:00","139.999","86.434","1711418414.0"
"2024-03-26T02:00:15.000000+00:00","139.999","86.282","1711418415.0"
"2024-03-26T02:00:16.000000+00:00","139.999","86.128","1711418416.0"
"2024-03-26T02:00:17.000000+00:00","140.016","85.973","1711418417.0"
"2024-03-26T02:00:18.000000+00:00","140.016","85.819","1711418418.0"
"2024-03-26T02:00:19.000000+00:00","140.016","85.665","1711418419.0"
