"timestamp_posix","timestamp","power","azimuth","elevation"
"1711418455.16232","2024-03-26T02:00:55.162320+00:00","-40.65","116.364","20.522"
"1711418455.302502","2024-03-26T02:00:55.302502+00:00","-40.65","116.364","20.522"
"1711418455.444027","2024-03-26T02:00:55.444027+00:00","-40.65","116.364","20.522"
"1711418455.59632","2024-03-26T02:00:55.596320+00:00","-40.65","116.364","20.522"
"1711418455.742233","2024-03-26T02:00:55.742233+00:00","-40.65","116.364","20.522"
"1711418455.886571","2024-03-26T02:00:55.886571+00:00","-40.65","116.364","20.522"
"1711418456.030981","2024-03-26T02:00:56.030981+00:00","-40.65","116.364","20.522"
"1711418456.171052","2024-03-26T02:00:56.171052+00:00","-40.65","116.364","20.522"
"1711418456.319157","2024-03-26T02:00:56.319157+00:00","-40.63","116.364","20.522"
"1711418456.463192","2024-03-26T02:00:56.463192+00:00","-40.64","116.364","20.522"
"1711418456.612764","2024-03-26T02:00:56.612764+00:00","-40.65","116.364","20.522"
"1711418456.759472","2024-03-26T02:00:56.759472+00:00","-40.64","116.364","20.522"
"1711418456.897624","2024-03-26T02:00:56.897624+00:00","-40.63","116.364","20.522"
"1711418457.044699","2024-03-26T02:00:57.044699+00:00","-40.63","116.364","20.522"
"1711418457.18506","2024-03-26T02:00:57.185060+00:00","-40.64","116.364","20.522"
"1711418457.334458","2024-03-26T02:00:57.334458+00:00","-40.62","116.364","20.522"
"1711418457.48261","2024-03-26T02:00:57.482610+00:00","-40.63","116.364","20.522"
"1711418457.628948","2024-03-26T02:00:57.628948+00:00","-40.65","116.364","20.522"
"1711418457.771102","2024-03-26T02:00:57.771102+00:00","-40.63","116.364","20.522"
"1711418457.917671","2024-03-26T02:00:57.917671+00:00","-40.63","116.364","20.522"
"1711418458.060403","2024-03-26T02:00:58.060403+00:00","-40.64","116.364","20.522"
"1711418458.201825","2024-03-26T02:00:58.201825+00:00","-40.64","116.364","20.522"
"1711418458.351176","2024-03-26T02:00:58.351176+00:00","-40.63","116.364","20.522"
"1711418458.490785","2024-03-26T02:00:58.490785+00:00","-40.63","116.364","20.522"
"1711418458.643463","2024-03-26T02:00:58.643463+00:00","-40.64","116.364","20.522"
"1711418458.788724","2024-03-26T02:00:58.788724+00:00","-40.64","116.364","20.522"
"1711418458.930144","2024-03-26T02:00:58.930144+00:00","-40.64","116.364","20.522"
"1711418459.07174","2024-03-26T02:00:59.071740+00:00","-40.63","116.364","20.522"
"1711418459.216245","2024-03-26T02:00:59.216245+00:00","-40.63","116.364","20.522"
"1711418459.368057","2024-03-26T02:00:59.368057+00:00","-40.63","116.364","20.522"
"1711418459.51357","2024-03-26T02:00:59.513570+00:00","-40.63","116.364","20.522"
"1711418459.656246","2024-03-26T02:00:59.656246+00:00","-40.64","116.364","20.522"
"1711418459.804499","2024-03-26T02:00:59.804499+00:00","-40.63","116.364","20.522"
"1711418459.949953","2024-03-26T02:00:59.949953+00:00","-40.63","116.364","20.522"
"1711418460.093964","2024-03-26T02:01:00.093964+00:00","-40.63","116.364","20.522"
"1711418460.231388","2024-03-26T02:01:00.231388+00:00","-40.63","116.364","20.522"
"1711418460.384611","2024-03-26T02:01:00.384611+00:00","-40.64","116.364","20.522"
"1711418460.527683","2024-03-26T02:01:00.527683+00:00","-40.64","116.364","20.522"
"1711418460.675678","2024-03-26T02:01:00.675678+00:00","-40.63","116.364","20.522"
"1711418460.820372","2024-03-26T02:01:00.820372+00:00","-40.64","116.364","20.522"
"1711418460.964477","2024-03-26T02:01:00.964477+00:00","-40.65","116.364","20.522"
"1711418461.107814","2024-03-26T02:01:01.107814+00:00","-40.63","116.364","20.522"
"1711418461.254344","2024-03-26T02:01:01.254344+00:00","-40.63","116.364","20.522"
"1711418461.40064","2024-03-26T02:01:01.400640+00:00","-40.63","116.364","20.522"
"1711418461.539396","2024-03-26T02:01:01.539396+00:00","-40.63","116.364","20.522"
"1711418461.686187","2024-03-26T02:01:01.686187+00:00","-40.64","116.364","20.522"
"1711418461.836212","2024-03-26T02:01:01.836212+00:00","-40.63","116.364","20.522"
"1711418461.975895","2024-03-26T02:01:01.975895+00:00","-40.63","116.364","20.522"
"1711418462.120459","2024-03-26T02:01:02.120459+00:00","-40.63","116.364","20.522"
"1711418462.262671","2024-03-26T02:01:02.262671+00:00","-40.63","116.364","20.522"
"1711418462.413689","2024-03-26T02:01:02.413689+00:00","-40.63","116.364","20.522"
"1711418462.560791","2024-03-26T02:01:02.560791+00:00","-40.64","116.364","20.522"
"1711418462.704288","2024-03-26T02:01:02.704288+00:00","-40.64","116.364","20.522"
"1711418462.850976","2024-03-26T02:01:02.850976+00:00","-40.62","116.364","20.522"
"1711418462.995215","2024-03-26T02:01:02.995215+00:00","-40.62","116.364","20.522"
"1711418463.138517","2024-03-26T02:01:03.138517+00:00","-40.64","116.364","20.522"
"1711418463.278327","2024-03-26T02:01:03.278327+00:00","-40.64","116.364","20.522"
"1711418463.42554","2024-03-26T02:01:03.425540+00:00","-40.64","116.364","20.522"
"1711418463.575363","2024-03-26T02:01:03.575363+00:00","-40.62","116.364","20.522"
"1711418463.720373","2024-03-26T02:01:03.720373+00:00","-40.62","116.364","20.522"
"1711418463.864186","2024-03-26T02:01:03.864186+00:00","-40.63","116.364","20.522"
"1711418464.011124","2024-03-26T02:01:04.011124+00:00","-40.63","116.364","20.522"
"1711418464.155007","2024-03-26T02:01:04.155007+00:00","-40.64","116.364","20.522"
"1711418464.297742","2024-03-26T02:01:04.297742+00:00","-40.63","116.364","20.522"
"1711418464.442979","2024-03-26T02:01:04.442979+00:00","-40.63","116.364","20.522"
"1711418464.590183","2024-03-26T02:01:04.590183+00:00","-40.63","116.364","20.522"
"1711418464.736174","2024-03-26T02:01:04.736174+00:00","-40.63","116.364","20.522"
"1711418464.87585","2024-03-26T02:01:04.875850+00:00","-40.63","116.364","20.522"
"1711418465.025437","2024-03-26T02:01:05.025437+00:00","-40.63","116.364","20.522"
"1711418465.170318","2024-03-26T02:01:05.170318+00:00","-40.64","116.364","20.522"
"1711418465.316167","2024-03-26T02:01:05.316167+00:00","-40.63","116.364","20.522"
"1711418465.461078","2024-03-26T02:01:05.461078+00:00","-40.62","116.364","20.522"
"1711418465.604006","2024-03-26T02:01:05.604006+00:00","-40.62","116.364","20.522"
"1711418465.745666","2024-03-26T02:01:05.745666+00:00","-40.61","116.364","20.522"
"1711418465.894927","2024-03-26T02:01:05.894927+00:00","-40.57","116.364","20.522"
"1711418466.035304","2024-03-26T02:01:06.035304+00:00","-40.59","116.364","20.522"
"1711418466.181086","2024-03-26T02:01:06.181086+00:00","-40.61","116.364","20.522"
"1711418466.32546","2024-03-26T02:01:06.325460+00:00","-40.61","116.364","20.522"
"1711418466.471005","2024-03-26T02:01:06.471005+00:00","-40.61","116.364","20.522"
"1711418466.621319","2024-03-26T02:01:06.621319+00:00","-40.61","116.364","20.522"
"1711418466.764565","2024-03-26T02:01:06.764565+00:00","-40.61","116.364","20.522"
"1711418466.911472","2024-03-26T02:01:06.911472+00:00","-40.62","116.364","20.522"
"1711418467.056721","2024-03-26T02:01:07.056721+00:00","-40.63","116.364","20.522"
"1711418467.201683","2024-03-26T02:01:07.201683+00:00","-40.62","116.364","20.522"
"1711418467.346246","2024-03-26T02:01:07.346246+00:00","-40.61","116.364","20.522"
"1711418467.491379","2024-03-26T02:01:07.491379+00:00","-40.61","116.364","20.522"
"1711418467.629883","2024-03-26T02:01:07.629883+00:00","-40.61","116.364","20.522"
"1711418467.772965","2024-03-26T02:01:07.772965+00:00","-40.59","116.364","20.522"
"1711418467.923661","2024-03-26T02:01:07.923661+00:00","-40.53","116.364","20.522"
"1711418468.072443","2024-03-26T02:01:08.072443+00:00","-40.43","116.364","20.522"
"1711418468.216736","2024-03-26T02:01:08.216736+00:00","-40.33","116.364","20.522"
"1711418468.362416","2024-03-26T02:01:08.362416+00:00","-40.38","116.364","20.522"
"1711418468.504889","2024-03-26T02:01:08.504889+00:00","-40.51","116.364","20.522"
"1711418468.652739","2024-03-26T02:01:08.652739+00:00","-40.58","116.364","20.522"
"1711418468.788917","2024-03-26T02:01:08.788917+00:00","-40.59","116.364","20.522"
"1711418468.938588","2024-03-26T02:01:08.938588+00:00","-40.57","116.364","20.522"
"1711418469.082316","2024-03-26T02:01:09.082316+00:00","-40.57","116.364","20.522"
"1711418469.223709","2024-03-26T02:01:09.223709+00:00","-40.56","116.364","20.522"
"1711418469.373128","2024-03-26T02:01:09.373128+00:00","-40.54","116.364","20.522"
"1711418469.523113","2024-03-26T02:01:09.523113+00:00","-40.51","116.364","20.522"
"1711418469.666183","2024-03-26T02:01:09.666183+00:00","-40.51","116.364","20.522"
"1711418469.805271","2024-03-26T02:01:09.805271+00:00","-40.5","116.364","20.522"
"1711418469.955947","2024-03-26T02:01:09.955947+00:00","-40.51","116.364","20.522"
"1711418470.10337","2024-03-26T02:01:10.103370+00:00","-40.56","116.364","20.522"
"1711418470.248109","2024-03-26T02:01:10.248109+00:00","-40.59","116.364","20.522"
"1711418470.386133","2024-03-26T02:01:10.386133+00:00","-40.58","116.364","20.522"
"1711418470.5374","2024-03-26T02:01:10.537400+00:00","-40.57","116.364","20.522"
"1711418470.679467","2024-03-26T02:01:10.679467+00:00","-40.58","116.364","20.522"
"1711418470.825023","2024-03-26T02:01:10.825023+00:00","-40.58","116.364","20.522"
"1711418470.971932","2024-03-26T02:01:10.971932+00:00","-40.51","116.364","20.522"
"1711418471.113466","2024-03-26T02:01:11.113466+00:00","-40.41","116.364","20.522"
"1711418471.259023","2024-03-26T02:01:11.259023+00:00","-40.41","116.364","20.522"
"1711418471.407322","2024-03-26T02:01:11.407322+00:00","-40.48","116.364","20.522"
"1711418471.551991","2024-03-26T02:01:11.551991+00:00","-40.55","116.364","20.522"
"1711418471.696077","2024-03-26T02:01:11.696077+00:00","-40.58","116.364","20.522"
"1711418471.835489","2024-03-26T02:01:11.835489+00:00","-40.59","116.364","20.522"
"1711418471.986891","2024-03-26T02:01:11.986891+00:00","-40.58","116.364","20.522"
"1711418472.133892","2024-03-26T02:01:12.133892+00:00","-40.56","116.364","20.522"
"1711418472.279664","2024-03-26T02:01:12.279664+00:00","-40.55","116.364","20.522"
"1711418472.418806","2024-03-26T02:01:12.418806+00:00","-40.57","116.364","20.522"
"1711418472.570047","2024-03-26T02:01:12.570047+00:00","-40.58","116.364","20.522"
"1711418472.712423","2024-03-26T02:01:12.712423+00:00","-40.57","116.364","20.522"
"1711418472.856005","2024-03-26T02:01:12.856005+00:00","-40.53","116.364","20.522"
"1711418473.004224","2024-03-26T02:01:13.004224+00:00","-40.51","116.364","20.522"
"1711418473.149124","2024-03-26T02:01:13.149124+00:00","-40.53","116.364","20.522"
"1711418473.286268","2024-03-26T02:01:13.286268+00:00","-40.56","116.364","20.522"
"1711418473.436211","2024-03-26T02:01:13.436211+00:00","-40.57","116.364","20.522"
"1711418473.584925","2024-03-26T02:01:13.584925+00:00","-40.57","116.364","20.522"
"1711418473.726246","2024-03-26T02:01:13.726246+00:00","-40.57","116.364","20.522"
"1711418473.875181","2024-03-26T02:01:13.875181+00:00","-40.57","116.364","20.522"
"1711418474.016325","2024-03-26T02:01:14.016325+00:00","-40.57","116.364","20.522"
"1711418474.164374","2024-03-26T02:01:14.164374+00:00","-40.56","116.364","20.522"
"1711418474.309241","2024-03-26T02:01:14.309241+00:00","-40.56","116.364","20.522"
"1711418474.451501","2024-03-26T02:01:14.451501+00:00","-40.55","116.364","20.522"
"1711418474.600252","2024-03-26T02:01:14.600252+00:00","-40.56","116.364","20.522"
"1711418474.742401","2024-03-26T02:01:14.742401+00:00","-40.57","116.364","20.522"
"1711418474.881064","2024-03-26T02:01:14.881064+00:00","-40.56","116.364","20.522"
"1711418475.035168","2024-03-26T02:01:15.035168+00:00","-40.56","116.364","20.522"
