"timestamp_posix","timestamp","power","azimuth","elevation"
"1711418455.16232","2024-03-26T02:00:55.162320+00:00","-40.65","116.37683768010139","38.014969358682634"
"1711418455.302502","2024-03-26T02:00:55.302502+00:00","-40.65","116.37669749808312","37.79558450007438"
"1711418455.444027","2024-03-26T02:00:55.444027+00:00","-40.65","116.37655597305297","37.57409782791137"
"1711418455.59632","2024-03-26T02:00:55.596320+00:00","-40.65","116.37640368008614","37.335759334802624"
"1711418455.742233","2024-03-26T02:00:55.742233+00:00","-40.65","116.37625776696206","37.10740529561043"
"1711418455.886571","2024-03-26T02:00:55.886571+00:00","-40.65","116.37611342906952","36.8815164937973"
"1711418456.030981","2024-03-26T02:00:56.030981+00:00","-40.65","116.37593803787232","36.6557624835968"
"1711418456.171052","2024-03-26T02:00:56.171052+00:00","-40.65","116.37565789604187","36.43767206859589"
"1711418456.319157","2024-03-26T02:00:56.319157+00:00","-40.63","116.37536168622971","36.207072729825974"
"1711418456.463192","2024-03-26T02:00:56.463192+00:00","-40.64","116.37507361602783","35.98281007766724"
"1711418456.612764","2024-03-26T02:00:56.612764+00:00","-40.65","116.37477447223664","35.74992663621902"
"1711418456.759472","2024-03-26T02:00:56.759472+00:00","-40.64","116.37448105621337","35.521502262115476"
"1711418456.897624","2024-03-26T02:00:56.897624+00:00","-40.63","116.37420475196838","35.30639940738678"
"1711418457.044699","2024-03-26T02:00:57.044699+00:00","-40.63","116.37297192406653","35.07744842815399"
"1711418457.18506","2024-03-26T02:00:57.185060+00:00","-40.64","116.36974361944198","34.859046602249144"
"1711418457.334458","2024-03-26T02:00:57.334458+00:00","-40.62","116.36630746340751","34.626583176612854"
"1711418457.48261","2024-03-26T02:00:57.482610+00:00","-40.63","116.36289997029304","34.39605885982513"
"1711418457.628948","2024-03-26T02:00:57.628948+00:00","-40.65","116.35953419661521","34.16835695362091"
"1711418457.771102","2024-03-26T02:00:57.771102+00:00","-40.63","116.35626465511322","33.94716536331177"
"1711418457.917671","2024-03-26T02:00:57.917671+00:00","-40.63","116.35289356780052","33.719103978157044"
"1711418458.060403","2024-03-26T02:00:58.060403+00:00","-40.64","116.351","33.502690655231476"
"1711418458.201825","2024-03-26T02:00:58.201825+00:00","-40.64","116.351","33.29593199110031"
"1711418458.351176","2024-03-26T02:00:58.351176+00:00","-40.63","116.351","33.07758065366745"
"1711418458.490785","2024-03-26T02:00:58.490785+00:00","-40.63","116.351","32.87347250032425"
"1711418458.643463","2024-03-26T02:00:58.643463+00:00","-40.64","116.351","32.650257245540615"
"1711418458.788724","2024-03-26T02:00:58.788724+00:00","-40.64","116.351","32.437885591506955"
"1711418458.930144","2024-03-26T02:00:58.930144+00:00","-40.64","116.351","32.23112936735153"
"1711418459.07174","2024-03-26T02:00:59.071740+00:00","-40.63","116.35293697762489","32.01744443678856"
"1711418459.216245","2024-03-26T02:00:59.216245+00:00","-40.63","116.35683861327172","31.792739124536514"
"1711418459.368057","2024-03-26T02:00:59.368057+00:00","-40.63","116.36093753933906","31.556671345472335"
"1711418459.51357","2024-03-26T02:00:59.513570+00:00","-40.63","116.3648663918972","31.330398540735246"
"1711418459.656246","2024-03-26T02:00:59.656246+00:00","-40.64","116.36871864056587","31.108537552595138"
"1711418459.804499","2024-03-26T02:00:59.804499+00:00","-40.63","116.3727214705944","30.87800419354439"
"1711418459.949953","2024-03-26T02:00:59.949953+00:00","-40.63","116.37664873313904","30.65182296180725"
"1711418460.093964","2024-03-26T02:01:00.093964+00:00","-40.63","116.37790603590011","30.427697896480563"
"1711418460.231388","2024-03-26T02:01:00.231388+00:00","-40.63","116.37776861190795","30.21372874069214"
"1711418460.384611","2024-03-26T02:01:00.384611+00:00","-40.64","116.37761538910866","29.97516084218025"
"1711418460.527683","2024-03-26T02:01:00.527683+00:00","-40.64","116.37747231698036","29.752397538423537"
"1711418460.675678","2024-03-26T02:01:00.675678+00:00","-40.63","116.37732432198524","29.521969331026078"
"1711418460.820372","2024-03-26T02:01:00.820372+00:00","-40.64","116.37717962789534","29.296680633068085"
"1711418460.964477","2024-03-26T02:01:00.964477+00:00","-40.65","116.37703552293777","29.072309214115144"
"1711418461.107814","2024-03-26T02:01:01.107814+00:00","-40.63","116.37602967333792","28.84934911561012"
"1711418461.254344","2024-03-26T02:01:01.254344+00:00","-40.63","116.3747109041214","28.621495100975036"
"1711418461.40064","2024-03-26T02:01:01.400640+00:00","-40.63","116.3733942399025","28.394004783153534"
"1711418461.539396","2024-03-26T02:01:01.539396+00:00","-40.63","116.37214543557167","28.178239145994187"
"1711418461.686187","2024-03-26T02:01:01.686187+00:00","-40.64","116.37082431674003","27.949979170084"
