timestamp_posix,timestamp,power,azimuth,elevation,elapsed_time
1711418455.16232,2024-03-26 02:00:55.162320+00:00,-40.65,116.3768376801014,38.01496935868264,0.0
1711418455.302502,2024-03-26 02:00:55.302502+00:00,-40.65,116.37669749808312,37.79558450007438,0.1401820182800293
1711418455.444027,2024-03-26 02:00:55.444027+00:00,-40.65,116.37655597305296,37.57409782791137,0.2817070484161377
1711418455.59632,2024-03-26 02:00:55.596320+00:00,-40.65,116.37640368008614,37.335759334802624,0.43400001525878906
1711418455.742233,2024-03-26 02:00:55.742233+00:00,-40.65,116.37625776696206,37.10740529561043,0.5799131393432617
1711418455.886571,2024-03-26 02:00:55.886571+00:00,-40.65,116.37611342906952,36.8815164937973,0.7242510318756104
1711418456.030981,2024-03-26 02:00:56.030981+00:00,-40.65,116.37593803787232,36.6557624835968,0.8686611652374268
1711418456.171052,2024-03-26 02:00:56.171052+00:00,-40.65,116.37565789604189,36.43767206859589,1.0087320804595947
1711418456.319157,2024-03-26 02:00:56.319157+00:00,-40.63,116.37536168622972,36.20707272982597,1.156836986541748
1711418456.463192,2024-03-26 02:00:56.463192+00:00,-40.64,116.37507361602783,35.98281007766724,1.3008720874786377
1711418456.612764,2024-03-26 02:00:56.612764+00:00,-40.65,116.37477447223664,35.74992663621902,1.450443983078003
1711418456.759472,2024-03-26 02:00:56.759472+00:00,-40.64,116.37448105621336,35.52150226211548,1.5971519947052002
1711418456.897624,2024-03-26 02:00:56.897624+00:00,-40.63,116.37420475196838,35.30639940738678,1.7353041172027588
1711418457.044699,2024-03-26 02:00:57.044699+00:00,-40.63,116.37297192406652,35.07744842815399,1.8823790550231934
1711418457.18506,2024-03-26 02:00:57.185060+00:00,-40.64,116.36974361944198,34.859046602249144,2.022740125656128
1711418457.334458,2024-03-26 02:00:57.334458+00:00,-40.62,116.36630746340752,34.626583176612854,2.172138214111328
1711418457.48261,2024-03-26 02:00:57.482610+00:00,-40.63,116.36289997029304,34.39605885982513,2.3202900886535645
1711418457.628948,2024-03-26 02:00:57.628948+00:00,-40.65,116.3595341966152,34.16835695362091,2.466628074645996
1711418457.771102,2024-03-26 02:00:57.771102+00:00,-40.63,116.35626465511322,33.94716536331177,2.6087820529937744
1711418457.917671,2024-03-26 02:00:57.917671+00:00,-40.63,116.35289356780052,33.719103978157044,2.7553510665893555
1711418458.060403,2024-03-26 02:00:58.060403+00:00,-40.64,116.351,33.50269065523148,2.898083209991455
1711418458.201825,2024-03-26 02:00:58.201825+00:00,-40.64,116.351,33.29593199110031,3.0395050048828125
1711418458.351176,2024-03-26 02:00:58.351176+00:00,-40.63,116.351,33.07758065366745,3.1888561248779297
1711418458.490785,2024-03-26 02:00:58.490785+00:00,-40.63,116.351,32.87347250032425,3.328464984893799
1711418458.643463,2024-03-26 02:00:58.643463+00:00,-40.64,116.351,32.650257245540615,3.481142997741699
1711418458.788724,2024-03-26 02:00:58.788724+00:00,-40.64,116.351,32.437885591506955,3.626404047012329
1711418458.930144,2024-03-26 02:00:58.930144+00:00,-40.64,116.351,32.23112936735153,3.767824172973633
1711418459.07174,2024-03-26 02:00:59.071740+00:00,-40.63,116.35293697762488,32.01744443678856,3.9094200134277344
1711418459.216245,2024-03-26 02:00:59.216245+00:00,-40.63,116.35683861327172,31.792739124536517,4.053925037384033
1711418459.368057,2024-03-26 02:00:59.368057+00:00,-40.63,116.36093753933906,31.55667134547233,4.205737113952637
1711418459.51357,2024-03-26 02:00:59.513570+00:00,-40.63,116.3648663918972,31.33039854073525,4.351250171661377
1711418459.656246,2024-03-26 02:00:59.656246+00:00,-40.64,116.36871864056587,31.108537552595138,4.493926048278809
